hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,9,186.33,184.22
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,10,186.75,185.07
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,11,186.45,185.86
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,12,186.16,186.42
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,1,186.08,187.30
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,2,185.88,186.62
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,3,188.17,188.08
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,4,190.16,188.87
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,5,191.74,189.02
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,6,192.59,189.40
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,7,193.06,189.89
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,8,193.17,190.08
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,9,193.86,191.66
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,10,193.61,191.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,11,192.53,192.05
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,12,191.52,192.01
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,1,191.14,192.61
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,2,191.69,192.60
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,3,192.52,192.55
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,4,194.77,193.51
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,5,196.10,193.04
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,6,196.06,192.52
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,7,196.06,192.67
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,8,195.57,192.27
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,9,194.65,192.38
